,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,1485.0,1209.0,403.0,202.0,201.0,3500.0
,Vol,87.72,573.54,663.23,785.75,2108.49,4218.73
Species Group 2,Num,2088.0,1797.0,610.0,403.0,402.0,5300.0
,Vol,122.63,858.02,972.41,1559.92,4191.6,7704.58
Species Group 3,Num,2075.0,1809.0,611.0,403.0,402.0,5300.0
,Vol,121.55,860.18,978.45,1551.68,4412.93,7924.79
Species Group 4,Num,2965.0,2716.0,911.0,505.0,303.0,7400.0
,Vol,173.88,1288.1,1472.79,1945.8,3294.81,8175.379999999999
Species Group 5,Num,2977.0,2700.0,915.0,407.0,401.0,7400.0
,Vol,177.35,477.25,978.42,996.17,2683.4900000000002,5312.68
Species Group 6,Num,3858.0,3612.0,1222.0,704.0,404.0,9800.0
,Vol,232.22,637.83,1315.19,1752.73,2646.19,6584.16
Species Group 7,Num,4364.0,4215.0,1414.0,899.0,408.0,11300.0
,Vol,263.08,739.79,1525.21,2238.89,2673.0,7439.969999999999
