,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,39.0,31.0,18.0,10.0,1.0,99.0
,Vol,2.19,14.46,28.59,37.51,6.64,89.39
Species Group 2,Num,75.0,50.0,31.0,10.0,2.0,168.0
,Vol,4.18,23.38,46.85,41.019999999999996,19.57,135.0
Species Group 3,Num,68.0,62.0,18.0,19.0,12.0,179.0
,Vol,3.62,30.26,29.990000000000002,73.22,141.60999999999999,278.7
Species Group 4,Num,103.0,82.0,28.0,15.0,8.0,236.0
,Vol,6.08,40.339999999999996,45.71,56.31,69.52,217.95999999999998
Species Group 5,Num,109.0,76.0,27.0,12.0,8.0,232.0
,Vol,6.43,13.69,30.5,27.990000000000002,53.96,132.57
Species Group 6,Num,132.0,114.0,40.0,20.0,9.0,315.0
,Vol,7.890000000000001,20.37,41.78,50.22,62.03,182.29000000000002
Species Group 7,Num,132.0,122.0,50.0,39.0,14.0,357.0
,Vol,7.86,22.37,52.38,100.05,94.18,276.84000000000003
