,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,1240.0,1011.0,347.0,118.0,,2716.0
,Vol,72.85,481.88,574.84,415.52,,1545.0900000000001
Species Group 2,Num,1773.0,1525.0,528.0,223.0,,4049.0
,Vol,103.88,728.3,839.09,765.52,,2436.79
Species Group 3,Num,1749.0,1524.0,531.0,240.0,,4044.0
,Vol,102.54,725.16,849.5,845.38,,2522.58
Species Group 4,Num,2488.0,2268.0,783.0,423.0,265.0,6227.0
,Vol,145.74,1075.55,1270.14,1631.78,2878.9,7002.110000000001
Species Group 5,Num,2499.0,2275.0,760.0,251.0,,5785.0
,Vol,149.03,401.93,812.27,566.9,,1930.13
Species Group 6,Num,3251.0,3046.0,1003.0,576.0,338.0,8214.0
,Vol,195.34,538.78,1081.88,1437.08,2237.94,5491.02
Species Group 7,Num,3630.0,3556.0,1199.0,744.0,353.0,9482.0
,Vol,218.86,624.87,1294.08,1844.59,2306.77,6289.17
