CUT TREE,VICTIM,Category Damage
T0101075032,T0101063005,2
T0101075032,T0101066008,2
T0101075032,T0101086000,1
T0101075032,T0101069002,2
T0101075032,T0101065006,2
T0101075032,T0201137000,1
T0101075032,T0201110000,1
T0101075032,T0201168000,1
T0101075032,T0201192000,1
T0101075032,T0201156000,1
T0101075032,T0201105000,1
T0101075032,T0201105000,1
T0101075032,T0201168000,1
T0101075032,T0201176000,1
T0101075032,T0201162000,1
T0101075032,T0301254000,1
T0101075032,T0301287000,1
T0101075032,T0301267000,1
T0101075032,T0301239000,1
T0101075032,T0301201000,1
T0101075032,T0301231000,1
T0101075032,T0301227000,1
T0101075032,T0401307000,1
T0101075032,T0401388000,1
T0101075032,T0401370000,1
T0101075032,T0501497000,1
T0101075032,T0501421000,1
T0101075032,T0501428000,1
T0101075032,T0501428000,1
T0101075032,T0601570000,1
T0101075032,T0601562000,1
T0101075032,T0601591000,1
T0101075032,T0601588000,1
T0101075032,T0601529000,1
T0101075032,T0701651000,1
T0101075032,T0701625000,1
T0101075032,T0801763000,1
T0101075032,T0801710000,1
T0101075032,T0801745000,1
T0101075032,T0801722000,1
T0101075032,T0801714000,1
T0101075032,T0801758000,1
T0101075032,T0901877000,1
T0101075032,T0901807000,1
T0101075032,T0901823000,1
T0101075032,T0901837000,1
T0101075032,T0901810000,1
T0101075032,T0901867000,1
T0101075032,T0901824000,1
T0101075032,T0901805000,1
T0101075032,T0901822000,1
T0101075032,T1001902000,1
T0101075032,T1001997000,1
T0101075032,T1001911000,1
T0101075032,T1001938000,1
T0101075032,T1001969000,1
T0101075032,T1001969000,1
T0101075032,T1001958000,1
T0101075032,T1001941000,1
T0101075032,T1001993000,1
T0101006093,T0101022066,2
T0101006093,T0101022070,2
T0101006093,T0101019069,2
T0101018027,T0101044007,2
T0101018027,T0101046007,2
T0101018027,T0101043012,2
T0101018027,T0101046008,2
T0101018027,T0101001049,1
T0101021039,T0101004022,1
T0101006084,T0101004047,2
T0101006084,T0101005051,2
T0101006084,T0101001053,2
T0101073009,T0101060029,1
T0101073009,T0101059031,1
T0101073009,T0101059031,1
T0101048053,T0101065033,2
T0101048053,T0101041059,1
T0101048053,T0101030069,1
T0101048053,T0101022076,1
T0101048053,T0101070028,2
T0101048053,T0101017080,1
T0101076055,T0101053043,2
T0101076055,T0101054042,2
T0101076055,T0101069043,1
T0101076055,T0101050045,2
T0101076055,T0101052037,2
T0101076055,T0101061030,1
T0101013080,T0101044079,1
T0101013080,T0101036079,1
T0101013080,T0102017107,2
T0101013080,T0102008107,2
T0101013080,T0102015103,2
T0101013080,T0102013111,2
T0101018076,T0101030042,2
T0101018076,T0101031048,2
T0101018076,T0101028045,2
T0101026064,T0101050047,2
T0101026064,T0101054050,2
T0101026064,T0101013085,1
T0101026064,T0101008092,1
T0101026064,T0101012086,1
T0101026064,T0101053049,2
T0101026064,T0101004099,1
T0101026064,T0101055049,2
T0101026064,T0101051047,2
T0101055084,T0101045051,2
T0101055084,T0101046047,2
T0101055084,T0101043052,2
T0101055084,T0101048053,2
T0101055084,T0101042048,2
T0101057055,T0101053081,2
T0101057055,T0101058083,2
T0101057055,T0101089051,1
T0101057055,T0101081052,1
T0101057055,T0101056079,2
T0101022084,T0101049087,2
T0101058051,T0101077074,2
T0101058051,T0101076067,2
T0101058051,T0101077072,1
T0101058051,T0101075070,2
T0101042018,T0101066040,2
T0101042018,T0101060037,1
T0101027092,T0101062099,1
T0101027092,T0102036121,2
T0101027092,T0102029124,2
T0101027092,T0102030120,2
T0101027092,T0102033123,2
T0101027092,T0102033127,2
T0101002069,T0101020097,2
T0101002069,T0101036095,1
T0101002069,T0101011076,1
T0101002069,T0101022085,1
T0101002069,T0101031091,1
T0101002069,T0101026088,1
T0101002069,T0101023091,2
T0101032077,T0101051094,1
T0101032077,T0102052106,2
T0101032077,T0102052105,2
T0101032077,T0102056107,2
T0101032077,T0102055105,2
T0102018168,T0102014192,2
T0102018168,T0102012195,2
T0102018168,T0102009194,2
T0102018168,T0102013194,2
T0102018168,T0102007196,2
T0102018168,T0102007192,2
T0102018168,T0102041162,1
T0102018168,T0102039163,1
T0102018168,T0102016196,2
T0102080106,T0101069075,2
T0102080106,T0101067079,2
T0102080106,T0101073078,2
T0102080106,T0101072078,2
T0102080106,T0101049096,1
T0102003127,T0102025104,2
T0102003127,T0102031108,2
T0102035148,T0102010174,2
T0102035148,T0102014176,2
T0102035148,T0102014169,2
T0102035148,T0102010172,2
T0102035148,T0102009171,2
T0102057134,T0102087133,2
T0102057134,T0102054167,1
T0102088118,T0102058122,2
T0102088118,T0102060123,2
T0102058114,T0102029116,2
T0102058114,T0102031116,2
T0102046132,T0102078121,2
T0102046132,T0102070118,2
T0102061124,T0102045148,2
T0102061124,T0102045155,2
T0102061124,T0102042153,2
T0102061124,T0102048156,2
T0102019178,T0102009149,2
T0102019178,T0102005172,1
T0102019178,T0102006151,2
T0102019178,T0102008147,2
T0102019178,T0102007144,2
T0102019178,T0102004147,2
T0102000151,T0102024143,2
