BlockX,BlockY,x,y,TreeNum,species,spgroup,Diameter (dbc cm),Stem Height,Volume (m3),status,PROD,Damage(Cut angle),Damage STEM,Damage Crown,d30,VOL30
1,1,22,66,T0101022066,PHDK,1,7.0,9,0.04,VICTIM,,,,0.02,19.0,0.25
1,1,44,91,T0101044091,PHDK,1,9.3,6,0.05,KEEP,,,,,21.3,0.33
1,1,50,47,T0101050047,PHDK,1,6.3,10,0.04,VICTIM,,,,0.02,18.3,0.22
1,1,7,7,T0101007007,PHDK,1,10.0,10,0.06,KEEP,,,,,22.0,0.36
1,1,49,95,T0101049095,PHDK,1,6.7,9,0.04,KEEP,,,,,18.7,0.24
1,1,19,84,T0101019084,PHDK,1,7.4,8,0.04,KEEP,,,,,19.4,0.26
1,1,2,33,T0101002033,PHDK,1,5.6,9,0.03,KEEP,,,,,17.6,0.2
1,1,52,72,T0101052072,PHDK,1,11.8,10,0.07,KEEP,,,,,23.8,0.44
1,1,87,48,T0101087048,PHDK,1,15.0,7,0.14,KEEP,,,,,33.0,0.94
1,1,19,35,T0101019035,PHDK,1,14.7,8,0.1,KEEP,,,,,26.7,0.58
1,1,90,46,T0101090046,PHDK,1,7.9,6,0.04,KEEP,,,,,19.9,0.28
1,1,62,71,T0101062071,PHDK,1,7.6,5,0.04,KEEP,,,,,19.6,0.27
1,1,17,47,T0101017047,PHDK,1,12.1,5,0.07,KEEP,,,,,24.1,0.45
1,1,43,24,T0101043024,PHDK,1,12.3,8,0.07,KEEP,,,,,24.3,0.46
1,1,98,51,T0101098051,PHDK,1,13.2,6,0.08,VICTIM,,,,0.04,25.2,0.51
1,1,51,75,T0101051075,PHDK,1,27.1,12,0.62,KEEP,,,,,45.1,1.84
1,1,40,22,T0101040022,PHDK,1,17.6,11,0.26,KEEP,,,,,35.6,1.11
1,1,47,36,T0101047036,PHDK,1,23.1,15,0.54,KEEP,,,,,41.1,1.51
1,1,54,26,T0101054026,PHDK,1,15.0,15,0.24,KEEP,,,,,33.0,0.94
1,1,64,20,T0101064020,PHDK,1,21.3,15,0.46,KEEP,,,,,39.3,1.37
1,1,85,59,T0101085059,PHDK,1,24.6,13,0.55,KEEP,,,,,42.6,1.63
1,1,3,71,T0101003071,PHDK,1,28.3,15,0.8,KEEP,,,,,46.3,1.94
1,1,53,43,T0101053043,PHDK,1,29.2,12,0.72,VICTIM,,,,0.36,47.2,2.02
1,1,65,66,T0101065066,PHDK,1,29.3,13,0.77,KEEP,,,,,47.3,2.03
1,1,69,75,T0101069075,PHDK,1,19.8,13,0.36,VICTIM,,,,0.18,37.8,1.26
1,1,97,11,T0101097011,PHDK,1,28.3,12,0.68,KEEP,,,,,46.3,1.94
1,1,65,33,T0101065033,PHDK,1,25.9,11,0.54,VICTIM,,,,0.27,43.9,1.73
1,1,89,79,T0101089079,PHDK,1,35.8,16,1.34,VICTIM,,,,0.67,50.8,2.36
1,1,35,17,T0101035017,PHDK,1,39.4,20,1.94,KEEP,,,,,54.4,2.72
1,1,44,79,T0101044079,PHDK,1,42.5,19,2.16,VICTIM,,,2.16,,,
1,1,78,5,T0101078005,PHDK,1,32.0,20,1.28,KEEP,,,,,47.0,2.0
1,1,75,32,T0101075032,PHDK,1,58.1,24,4.89,CUT,4.89,251,,,73.1,4.98
1,1,6,93,T0101006093,PHDK,1,59.6,24,5.15,CUT,5.15,307,,,74.6,5.19
1,1,18,27,T0101018027,PHDK,1,87.5,26,11.86,CUT,11.86,322,,,108.5,11.09
1,1,44,7,T0101044007,PHDK,1,96.4,29,15.83,VICTIM,,,,7.915,117.4,13.0
1,1,27,24,T0101027024,CHBR,2,12.5,5,0.08,KEEP,,,,,24.5,0.47
1,1,15,14,T0101015014,CHBG,2,8.0,5,0.04,KEEP,,,,,20.0,0.28
1,1,11,98,T0101011098,CHTR,2,5.8,8,0.03,KEEP,,,,,17.8,0.2
1,1,89,20,T0101089020,CHTR,2,12.8,10,0.08,KEEP,,,,,24.8,0.49
1,1,82,24,T0101082024,CHBR,2,6.5,8,0.04,KEEP,,,,,18.5,0.23
1,1,41,19,T0101041019,CHMI,2,7.6,6,0.04,KEEP,,,,,19.6,0.27
1,1,54,50,T0101054050,CHTR,2,13.7,9,0.09,VICTIM,,,,0.045,25.7,0.53
1,1,45,38,T0101045038,CHTR,2,5.2,6,0.03,KEEP,,,,,17.2,0.18
1,1,63,65,T0101063065,CHMI,2,7.9,10,0.04,KEEP,,,,,19.9,0.28
1,1,46,7,T0101046007,CHTR,2,9.5,10,0.05,VICTIM,,,,0.025,21.5,0.34
1,1,68,23,T0101068023,CHBG,2,6.5,9,0.04,KEEP,,,,,18.5,0.23
1,1,39,51,T0101039051,CHMI,2,8.8,8,0.05,KEEP,,,,,20.8,0.31
1,1,20,21,T0101020021,CHBR,2,6.7,10,0.04,KEEP,,,,,18.7,0.24
1,1,81,51,T0101081051,CHBG,2,9.5,5,0.05,KEEP,,,,,21.5,0.34
1,1,91,42,T0101091042,CHTR,2,7.5,6,0.04,KEEP,,,,,19.5,0.26
1,1,28,29,T0101028029,CHBG,2,10.5,8,0.06,KEEP,,,,,22.5,0.38
1,1,22,26,T0101022026,CHTR,2,10.5,7,0.06,KEEP,,,,,22.5,0.38
1,1,74,44,T0101074044,CHTR,2,11.2,6,0.06,KEEP,,,,,23.2,0.41
1,1,10,80,T0101010080,CHMI,2,12.5,6,0.08,KEEP,,,,,24.5,0.47
1,1,18,18,T0101018018,CHBR,2,7.9,10,0.04,KEEP,,,,,19.9,0.28
1,1,61,18,T0101061018,CHBG,2,13.5,5,0.08,KEEP,,,,,25.5,0.52
1,1,15,30,T0101015030,CHMI,2,25.0,13,0.57,KEEP,,,,,43.0,1.66
1,1,23,24,T0101023024,CHBR,2,29.4,11,0.69,KEEP,,,,,47.4,2.04
1,1,43,12,T0101043012,CHMI,2,23.9,14,0.55,VICTIM,,,,0.275,41.9,1.57
1,1,33,32,T0101033032,CHBR,2,17.4,15,0.31,KEEP,,,,,35.4,1.09
1,1,53,81,T0101053081,CHBG,2,29.9,15,0.89,VICTIM,,,,0.445,47.9,2.08
1,1,24,34,T0101024034,CHTR,2,19.8,15,0.4,KEEP,,,,,37.8,1.26
1,1,85,39,T0101085039,CHBR,2,19.4,13,0.35,KEEP,,,,,37.4,1.23
1,1,55,67,T0101055067,CHBG,2,21.1,15,0.45,KEEP,,,,,39.1,1.36
1,1,28,7,T0101028007,CHTR,2,16.5,14,0.27,KEEP,,,,,34.5,1.03
1,1,18,23,T0101018023,CHBG,2,20.4,13,0.38,KEEP,,,,,38.4,1.3
1,1,19,45,T0101019045,CHMI,2,21.9,12,0.41,KEEP,,,,,39.9,1.42
1,1,15,2,T0101015002,CHBG,2,18.9,14,0.35,KEEP,,,,,36.9,1.2
1,1,30,42,T0101030042,CHBG,2,28.8,12,0.7,VICTIM,,,,0.35,46.8,1.98
1,1,44,90,T0101044090,CHBG,2,15.5,12,0.21,KEEP,,,,,33.5,0.97
1,1,34,74,T0101034074,CHTR,2,24.7,13,0.55,KEEP,,,,,42.7,1.64
1,1,85,7,T0101085007,CHTR,2,27.5,15,0.76,KEEP,,,,,45.5,1.87
1,1,92,69,T0101092069,CHBR,2,20.8,11,0.35,KEEP,,,,,38.8,1.33
1,1,89,2,T0101089002,CHTR,2,18.5,15,0.35,KEEP,,,,,36.5,1.17
1,1,47,2,T0101047002,CHBR,2,31.5,17,1.09,KEEP,,,,,46.5,1.96
1,1,66,40,T0101066040,CHTR,2,30.9,16,1.0,VICTIM,,,,0.5,45.9,1.91
1,1,87,36,T0101087036,CHMI,2,40.8,16,1.74,KEEP,,,,,55.8,2.86
1,1,19,27,T0101019027,CHMI,2,37.3,19,1.67,KEEP,,,,,52.3,2.5
1,1,89,81,T0101089081,CHMI,2,32.6,19,1.28,VICTIM,,,,0.64,47.6,2.06
1,1,73,99,T0101073099,CHBG,2,43.1,19,2.22,KEEP,,,,,58.1,3.11
