VICTIM,Cut Tree,Category Damage
T0101002069,T0101002033,2
T0101032077,T0101002062,2
T0102004116,T0101003089,2
T0102004116,T0101003091,2
T0101032077,T0101004065,2
T0101006093,T0101004099,1
T0102004116,T0101005085,2
T0102004116,T0101005089,2
T0101002069,T0101006031,2
T0101002069,T0101007037,2
T0101002069,T0101007039,2
T0101046008,T0101009022,2
T0101002069,T0101009034,2
T0101046008,T0101010020,2
T0101046008,T0101013016,2
T0101006084,T0101014054,2
T0101021039,T0101014067,2
T0101044007,T0101015006,1
T0101006084,T0101015046,2
T0101006084,T0101016048,2
T0101021039,T0101017068,2
T0101026064,T0101017080,1
T0101013080,T0101018053,2
T0101013080,T0101019049,2
T0101021039,T0101019069,2
T0101048053,T0101019084,1
T0101013080,T0101020058,2
T0101048053,T0101020081,1
T0101018027,T0101021006,1
T0101013080,T0101024054,2
T0101018076,T0101028045,2
T0101018076,T0101030042,2
T0101018076,T0101031048,2
T0101018076,T0101031049,2
T0101029035,T0101031059,2
T0101018076,T0101032047,2
T0101006093,T0101032086,2
T0101018076,T0101033043,2
T0101018076,T0101033045,2
T0101029035,T0101033060,2
T0101006093,T0101033085,2
T0101006093,T0101035080,2
T0101006093,T0101035084,2
T0102061124,T0101035091,1
T0101006093,T0101037087,2
T0101029035,T0101038058,2
T0101029035,T0101039060,2
T0101073009,T0101043017,1
T0101075032,T0101046047,2
T0101076055,T0101047066,2
T0101066008,T0101048037,2
T0101075032,T0101049046,2
T0101022084,T0101049087,1
T0101075032,T0101050045,2
T0101075032,T0101050047,2
T0101076055,T0101050063,2
T0101021039,T0101051035,1
T0101075032,T0101051047,2
T0101075032,T0101051052,2
T0101066008,T0101052037,2
T0101066008,T0101053043,2
T0101075032,T0101053049,2
T0101075032,T0101053051,2
T0101066008,T0101054042,2
T0101075032,T0101054050,2
T0101026064,T0101054052,2
T0101075032,T0101055049,2
T0101057055,T0101055067,1
T0101027092,T0101056096,2
T0101027092,T0101057095,2
T0101026064,T0101058051,2
T0101027092,T0101059097,2
T0101027092,T0101060095,2
T0101027092,T0101061092,2
T0101048053,T0101065033,2
T0101048053,T0101070028,2
T0101042018,T0101073010,2
T0101042018,T0101078005,2
T0201113075,T0101078043,1
T0101057055,T0101081051,2
T0101057055,T0101081052,2
T0101075032,T0101082021,1
T0101075032,T0101082021,1
T0101057055,T0101082050,2
T0101076055,T0101083035,1
T0101057055,T0101083052,2
T0101057055,T0101084053,2
T0101057055,T0101085049,2
T0101006093,T0101086000,1
T0101076055,T0101087024,1
T0101057055,T0101087048,2
T0101057055,T0101089051,2
T0201113075,T0101089053,1
T0201113075,T0101090046,2
T0201113075,T0101090054,1
T0201113075,T0101093055,2
T0202122113,T0101093098,2
T0202122113,T0101096098,2
T0102014185,T0102009194,1
T0102052106,T0102015103,2
T0102052106,T0102017107,2
T0102052106,T0102018110,2
T0102052106,T0102020110,2
T0101022084,T0102022111,2
T0101022084,T0102022113,2
T0101022084,T0102022114,2
T0103014213,T0102023182,2
T0101022084,T0102024114,2
T0103014213,T0102024183,2
T0102003127,T0102025104,2
T0103014213,T0102025181,2
T0103014213,T0102025183,2
T0103014213,T0102025186,2
T0103014213,T0102027185,2
T0102028132,T0102029102,2
T0103014213,T0102029188,2
T0102028132,T0102030103,2
T0101022084,T0102030113,2
T0102028132,T0102031108,2
T0102015189,T0102031169,2
T0102015189,T0102032170,2
T0102061124,T0102033107,2
T0102004103,T0102033110,2
T0102004103,T0102033110,2
T0102004103,T0102033111,2
T0102058114,T0102033123,2
T0102058114,T0102033127,2
T0102061124,T0102034107,2
T0102015189,T0102034172,2
T0102015189,T0102035165,2
T0103024222,T0102035196,1
T0102061124,T0102036109,2
T0102058114,T0102036121,2
T0102015189,T0102038169,2
T0102061124,T0102041104,2
T0102014185,T0102042173,2
T0102014185,T0102044170,2
T0102019178,T0102051188,1
T0102019178,T0102052189,1
T0102061124,T0102053114,1
T0102029190,T0102061179,1
T0102040152,T0102063129,2
T0102040152,T0102064130,2
T0102046132,T0102065151,1
T0102092167,T0102066190,2
T0102040152,T0102068128,2
T0102046132,T0102068152,2
T0102046132,T0102068153,2
T0102046132,T0102068158,2
T0102046132,T0102069150,2
T0102046132,T0102069153,2
T0102035148,T0102070139,2
T0102035148,T0102070145,2
T0102092167,T0102070188,2
T0102046132,T0102071151,2
T0102046132,T0102072152,2
T0102092167,T0102072187,2
T0202110109,T0102079113,2
T0102046132,T0102079166,1
T0202110109,T0102080108,2
T0202110109,T0102082107,2
T0202110109,T0102082110,2
T0202110109,T0102083114,2
T0101055084,T0102084105,2
T0101055084,T0102086104,2
T0202104163,T0102087133,2
T0202106166,T0102087195,1
T0202110109,T0102088111,2
T0102094111,T0102088142,2
T0102094111,T0102088143,2
T0101055084,T0102089102,2
T0102094111,T0102089140,2
T0102094111,T0102089145,2
T0102094111,T0102090143,2
T0102094111,T0102090143,2
T0202106166,T0102090190,1
T0202106166,T0102091190,1
T0201123098,T0102092115,2
T0202104163,T0102094137,2
T0201123098,T0102095117,2
T0202104163,T0102095135,2
T0102094111,T0102095142,2
T0202122113,T0102098103,2
T0202122113,T0102099101,2
T0103028255,T0103006247,2
T0103014287,T0103006265,1
T0103014287,T0103006266,1
T0103028255,T0103007246,2
T0103028255,T0103008244,2
T0103028255,T0103009244,2
T0102029190,T0103016220,2
T0103028255,T0103016232,1
T0102029190,T0103017219,2
T0102029190,T0103019218,2
T0102029190,T0103020223,2
T0102029190,T0103020225,2
T0103017294,T0103021260,2
T0102029190,T0103022223,2
T0103017294,T0103023257,2
T0103048239,T0103024227,1
T0103017294,T0103024262,2
T0104038324,T0103026297,2
T0102019178,T0103027205,2
T0104038324,T0103027298,2
T0102019178,T0103028205,2
T0103059252,T0103028252,2
T0103059252,T0103029250,2
T0103059252,T0103029252,2
T0103040278,T0103029291,1
T0103021266,T0103029293,1
T0103021266,T0103029293,1
T0103059252,T0103030253,2
T0103059252,T0103030256,2
T0103021266,T0103030295,1
T0103059252,T0103031255,2
T0103059252,T0103032248,2
T0103048239,T0103033217,2
T0103059252,T0103033251,2
T0103059252,T0103033251,2
T0103048239,T0103034213,2
T0103059252,T0103034255,2
T0103059252,T0103034256,2
T0102070192,T0103035204,2
T0103059252,T0103035251,2
T0103065257,T0103035270,1
T0103065257,T0103035270,1
T0102070192,T0103036206,2
T0103048239,T0103036218,2
T0103069291,T0103037298,1
T0102070192,T0103039204,2
T0103010266,T0103039267,2
T0102070192,T0103040201,2
T0103010266,T0103040262,2
T0103010266,T0103042261,2
T0103028237,T0103043205,2
T0103010266,T0103044261,2
T0103010266,T0103044262,2
T0103010266,T0103044268,2
T0103069291,T0103044296,1
T0103083269,T0103045252,1
T0103010266,T0103047263,2
T0103021266,T0103050275,2
T0103021266,T0103050278,2
T0103021266,T0103052274,2
T0103021266,T0103054273,2
T0103067276,T0103056247,2
T0103021266,T0103056277,2
T0103067276,T0103057272,1
T0103021266,T0103058274,2
T0103021266,T0103058275,2
T0103083255,T0103059239,2
T0103067276,T0103059248,2
T0103059252,T0103060223,1
T0103083255,T0103060238,2
T0103040278,T0103062256,2
T0103040278,T0103062256,2
T0103040278,T0103062257,2
T0103097296,T0103063292,2
T0103083255,T0103065232,1
T0103097296,T0103065286,2
T0103037299,T0103065299,2
T0103083269,T0103066240,2
T0103097296,T0103066291,2
T0103083269,T0103067239,2
T0103083269,T0103069238,2
T0103083269,T0103070237,2
T0103069291,T0103073266,2
T0103069291,T0103075263,2
T0103069291,T0103075264,2
T0103065257,T0103076225,2
T0103069291,T0103076267,2
T0103069291,T0103078264,2
T0103069291,T0103079262,2
T0103088247,T0103080276,2
T0103088247,T0103080278,2
T0103088247,T0103082283,2
T0203117228,T0103084224,2
T0203117228,T0103084226,2
T0203117228,T0103085228,2
T0203117228,T0103086229,2
T0203117228,T0103087223,2
T0103083220,T0103087248,2
T0103088247,T0103087276,2
T0103088247,T0103087279,2
T0103083220,T0103088256,2
T0103083220,T0103088256,2
T0103083220,T0103091252,2
T0103097296,T0103092270,1
T0203113280,T0103093263,1
T0103083220,T0103094253,2
T0203100262,T0103094286,2
T0203100262,T0103094288,2
T0203113280,T0103095252,2
T0203100262,T0103095283,2
T0203113280,T0103096255,2
T0203100262,T0103096286,2
T0103083220,T0103097223,1
T0103083220,T0103097223,1
T0203100262,T0103097287,2
T0203100262,T0103098285,2
T0104024358,T0104000382,2
T0104024358,T0104003380,2
T0105033406,T0104003398,2
T0104035350,T0104004361,2
T0105028401,T0104004370,1
T0104024358,T0104004384,2
T0104024358,T0104004384,2
T0105021410,T0104006378,1
T0104004351,T0104008319,2
T0105028401,T0104011384,2
T0105021410,T0104012390,1
T0105028401,T0104014383,1
T0103040278,T0104015307,1
T0104038324,T0104015311,1
T0105028401,T0104015384,1
T0105028401,T0104015384,1
T0104041339,T0104017341,1
T0105028401,T0104018388,1
T0105028401,T0104018388,1
T0104060356,T0104022335,1
T0104038324,T0104023305,2
T0104038324,T0104024302,2
T0104038324,T0104025300,2
T0104038324,T0104027303,2
T0105033406,T0104029385,1
T0104038324,T0104030300,2
T0103021266,T0104032302,1
T0104019363,T0104037341,1
T0104041339,T0104039311,2
T0103037299,T0104039315,1
T0103037299,T0104041329,1
T0104060356,T0104042327,2
T0104078369,T0104043383,1
T0104041339,T0104044311,2
T0105044413,T0104044378,2
T0104041339,T0104046308,2
T0104035350,T0104046327,1
T0104060356,T0104047323,2
T0104078369,T0104047381,1
T0104060356,T0104048328,2
T0104079345,T0104049337,2
T0104079345,T0104049338,2
T0104078369,T0104049381,1
T0104044382,T0104049393,1
T0104079345,T0104050337,2
T0104035350,T0104052315,1
T0104079345,T0104052330,2
T0104024358,T0104054329,1
T0105033422,T0104055399,1
T0104091315,T0104058317,2
T0104024358,T0104058326,1
T0104024358,T0104058326,1
T0104068337,T0104059368,2
T0104068337,T0104060369,2
T0104068337,T0104061365,2
T0105033422,T0104061394,1
T0105033422,T0104062391,1
T0105033422,T0104062391,1
T0104091315,T0104063315,2
T0104068337,T0104063369,2
T0104079345,T0104064309,1
T0104068337,T0104064363,2
T0104068337,T0104064367,2
T0103037299,T0104065302,2
T0104052301,T0104065333,2
T0104068337,T0104065367,2
T0104078369,T0104068373,1
T0204101398,T0104068398,2
T0103037299,T0104069302,2
T0104044382,T0104069395,2
T0104044382,T0104069398,2
T0104075335,T0104071365,2
T0104075335,T0104071367,2
T0103098278,T0104072301,2
T0104044382,T0104072398,2
T0204105365,T0104073381,2
T0103098278,T0104075305,2
T0104075335,T0104075372,2
T0204105365,T0104075380,2
T0104044382,T0104076397,2
T0104075335,T0104077370,2
T0104075335,T0104077372,2
T0204105365,T0104077382,2
T0204105356,T0104081344,1
T0204106381,T0104082366,2
T0204106381,T0104083352,1
T0204106381,T0104084360,2
T0204106381,T0104084361,2
T0104078369,T0104086338,2
T0204106381,T0104086361,2
T0204106381,T0104086365,2
T0204105356,T0104087347,1
T0204106381,T0104087365,2
T0104081353,T0104089384,2
T0104081353,T0104089384,2
T0104081353,T0104090357,1
T0104081353,T0104090386,2
T0204120347,T0104091360,2
T0103077293,T0104092304,1
T0104078369,T0104092337,2
